ENTITY_STABLE_ID	NAME	DESCRIPTION	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
1p_status	1p	Copy number status of 1p	NA	NA	Unchanged	Unchanged	NA	NA	NA	NA	Unchanged	NA	NA	NA	NA	NA	NA	Loss	Loss	NA	NA	NA	Unchanged	NA	NA	NA	NA	Loss	NA	NA	NA	NA	NA	NA	Loss	Unchanged	NA	Unchanged
1q_status	1q	Copy number status of 1q	Unchanged	Gain	Unchanged	Gain	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Gain	Unchanged	Gain	Gain	Gain	Gain	Gain	Gain	Gain	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Gain	Gain	Gain	Gain	Unchanged	Gain	Unchanged
2p_status	2p	Copy number status of 2p	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	NA	Unchanged	Unchanged	NA
2q_status	2q	Copy number status of 2q	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
3p_status	3p	Copy number status of 3p	NA	Loss	Gain	Loss	Loss	Loss	Loss	NA	Unchanged	Loss	Loss	Unchanged	NA	Loss	Loss	NA	Loss	Loss	Loss	Loss	NA	Loss	Loss	Loss	Loss	Loss	Loss	NA	Loss	NA	Loss	Loss	Unchanged	Unchanged	Loss	Unchanged
3q_status	3q	Copy number status of 3q	NA	Unchanged	Gain	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	NA	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	Unchanged	Gain	NA	Unchanged	Unchanged	Loss	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Unchanged
4p_status	4p	Copy number status of 4p	Loss	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Unchanged	NA	Unchanged	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Loss	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Loss	Gain	Unchanged	Unchanged	Loss	Unchanged
4q_status	4q	Copy number status of 4q	Unchanged	Unchanged	Gain	Unchanged	Loss	Loss	Unchanged	NA	Unchanged	NA	Loss	Unchanged	Loss	Unchanged	Unchanged	Loss	Loss	Unchanged	NA	Loss	Unchanged	Unchanged	Unchanged	Loss	Loss	Loss	NA	NA	Unchanged	Unchanged	Loss	Loss	Unchanged	Unchanged	Loss	Unchanged
5p_status	5p	Copy number status of 5p	Loss	Unchanged	Gain	Gain	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Gain	NA	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged
5q_status	5q	Copy number status of 5q	Loss	Unchanged	NA	Loss	NA	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	Unchanged	NA	Unchanged	Loss	Gain	Unchanged	Gain	Unchanged	Unchanged	Unchanged	Unchanged	Gain	Unchanged	Unchanged	NA	Unchanged	Unchanged	NA	Unchanged	Unchanged	Unchanged	Unchanged	NA
