Hugo_Symbol	Entrez_Gene_Id	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
ACAP3	116983	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ACTRT2	140625	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
AGRN	375790	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ANKRD65	441869	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ATAD3A	55210	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ATAD3B	83858	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ATAD3C	219293	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
AURKAIP1	54998	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
B3GALT6	126792	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
C1orf159	54991	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
