ENTITY_STABLE_ID	NAME	DESCRIPTION	URL	TCGA-W5-AA2Z-01	TCGA-ZU-A8S4-01	TCGA-3X-AAV9-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA31-01	TCGA-W5-AA2Q-01	TCGA-W5-AA34-01	TCGA-3X-AAVE-01	TCGA-W5-AA2U-01	TCGA-4G-AAZT-01	TCGA-W5-AA2T-01	TCGA-W5-AA2R-01	TCGA-W5-AA36-01	TCGA-3X-AAVA-01	TCGA-W5-AA39-01	TCGA-4G-AAZO-01	TCGA-YR-A95A-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA2O-01	TCGA-3X-AAVC-01	TCGA-W5-AA2I-01	TCGA-ZH-A8Y4-01	TCGA-3X-AAVB-01	TCGA-W5-AA38-01	TCGA-W6-AA0S-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA30-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y5-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-ZH-A8Y8-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y6-01
Prasinovirus	Prasinovirus	k__Viruses.f__Phycodnaviridae.g__Prasinovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.4002653359	0.7517406666	0.0034712926	0.4265177095	-0.053395683	-0.129394592	0.0724659708	0.6580754139	0.126571083	0.05549613	-0.176496147	-0.086330423	0.2792496775	0.4664307044	0.9955542434	0.7264052347	0.1628177852	0.2615623305	-0.218139505	0.3309112646	0.3519050532	-0.3100762	0.1195593785	1.9292359283	0.1373594974	0.5266303936	0.5075818955	-0.411405986	0.0958412673	0.199531813	-0.244016895	0.2846364147	0.4591024811	2.354684946	0.3525234545	0.1453162275
Sfi1unalikevirus	Sfi1unalikevirus	k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.3101090141	2.5111830035	1.8795446124	2.5463296631	1.8564479956	1.7804490865	1.9823096491	2.5341487337	2.0364147612	1.8752397434	1.7333475313	1.8235132548	2.1890933558	2.3425040242	2.9053979216	2.5461488481	2.1704377278	2.1714060088	1.6917041737	2.2407549429	2.227978373	1.5997674783	2.2393713321	2.2203467474	2.0472031756	2.587115028	2.4174255738	1.4984376918	2.0056849455	2.1194508461	1.8757950584	2.194480093	2.4210008254	2.1525688047	2.4723354081	2.2651281812
Simplexvirus	Simplexvirus	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	4.3120589208	4.6341108726	3.9320628623	4.6204188864	4.3653578909	4.9607362344	4.4912195444	4.4663727499	4.4342933442	4.3944767491	6.520792926	5.599903461	4.466677705	4.3950222741	4.3598600329	4.9209959445	3.960741052	5.8080714513	5.1736470215	4.6386335259	3.8845679466	3.9976460613	4.2375117022	3.3294485257	4.9305085858	3.2146822439	4.4193754804	3.8963162748	5.1172593434	4.9518007055	4.8142291824	4.7033899884	4.8735269815	3.5851119989	4.2152187229	3.6976713754
Parapoxvirus	Parapoxvirus	k__Viruses.f__Poxviridae.g__Parapoxvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.9302167053	1.2528065047	0.4433989847	1.2985305893	0.4765556867	0.4005567776	0.6024173402	1.098003106	0.6565224524	0.5332971788	0.3534552224	0.4436209459	0.8092010469	0.9063583965	1.5255056127	1.2042062835	0.7836200564	0.7915136999	0.3118118649	0.860862634	0.7918327453	0.2198751695	0.9915722583	0.7842011197	0.6673108668	1.1908576876	1.0375332649	0.118545383	0.6257926367	0.8109825054	0.6279959846	0.8145877841	1.1024217885	0.9047697309	1.2245363343	1.0173291073
Bicaudavirus	Bicaudavirus	k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.3556246454	1.5735195513	0.9870441358	1.7345506997	0.9019636268	0.8259647177	1.0278252803	1.6416482571	1.0819303925	0.9463258815	0.7788631625	0.869028886	1.234608987	1.4500035476	1.9509135528	1.6172349863	1.1556951918	1.21692164	0.737219805	1.2862705741	1.3354778964	0.6452831096	1.4275923687	1.3278462708	1.0927188069	1.745293171	1.462941205	0.5439533231	1.0512005768	1.1678517807	1.064016095	1.2399957242	1.4712173054	1.3407898413	1.6605564447	1.4533492178
Aquamavirus	Aquamavirus	k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.5674596106	1.9362245137	1.2110052216	1.8108233458	2.6987610928	1.037799683	1.2396602455	3.4505718436	1.2937653577	0.3542327496	2.5756606285	1.0808638513	1.4464439523	1.6739646334	2.1627485181	3.3470699492	1.319383329	1.4287566053	2.5340172709	1.4981055394	1.5594389821	0.8571180748	1.5038650148	1.5518073566	2.8895162728	1.8036628218	1.6747761702	0.7557882883	2.8479980427	1.2183743315	2.7252512418	1.4518306895	1.7711894452	1.4170624874	1.7368290908	1.5296218639
Mardivirus	Mardivirus	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	4.5894715892	7.285562038	6.3790931656	5.8734525257	5.7207730713	6.8671665836	5.8466347248	5.8113048655	4.3157773363	8.230399538	5.5976726071	5.6878383306	4.4684559308	4.0346976553	5.1847604967	4.7049114299	7.1320457397	6.0357310846	5.5560292495	6.1050800187	3.9201720041	6.2010581483	3.9815316939	6.2344684734	7.4964907521	4.0203860622	6.2817506495	6.0997283618	5.8700100213	7.0708392355	5.202917921	7.6437676695	3.6129369106	7.5951688847	7.021850692	7.1772135444
Deltabaculovirus	Deltabaculovirus	k__Viruses.f__Baculoviridae.g__Deltabaculovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	-0.382489865	-0.071127795	-0.754634235	-0.011324973	-0.836150883	-0.912149792	-0.71028923	-0.100030114	-0.656184118	-0.765332062	-0.959251347	-0.869085624	-0.503505523	-0.291674824	0.2127990428	-0.094422958	-0.533246588	-0.52119287	-1.000894705	-0.451843936	-0.406200475	-1.0928314	-0.318283304	-0.4138321	-0.645395703	-0.178827127	-0.275173305	-1.194161187	-0.686913933	-0.56020556	-0.681859578	-0.498118786	-0.324705901	-0.405085831	-0.085319228	-0.292526455
Taupapillomavirus	Taupapillomavirus	k__Viruses.f__Papillomaviridae.g__Taupapillomavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.7879728929	1.3610224934	0.7954074121	1.1897896287	0.3343118744	1.843275466	3.6300985293	1.4500115333	0.51427864	1.6976484048	3.0185663321	2.6233052285	2.2519197353	1.2583668239	4.1906167225	1.6315919153	0.7282113806	0.6492698876	0.1695680525	0.7186188217	1.1438411726	1.6625938578	0.8828312976	2.7211720478	0.5250670544	0.9996680301	0.8952894526	1.5612640713	0.4835488243	0.7616383775	0.519255024	3.4796988938	1.1829116488	0.7960287703	1.1157953736	2.4935506474
I3likevirus	I3likevirus	k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	-1.098641405	0.511326681	0.0399751986	-0.685138996	-1.552302424	-1.628301333	-1.42644077	-0.890383181	-1.372335658	-2.059715225	-1.675402888	1.2221177573	-1.219657064	-1.08202789	-0.503352498	0.1961563805	-1.657153401	-1.237344411	-1.717046246	-1.167995477	-1.196553542	-1.808982941	-0.992097327	-1.204185167	-1.361547244	-0.659872003	-0.991324846	-1.910312728	-1.403065474	-1.135914641	-1.355673601	-1.214270327	-1.272752844	-1.078899855	-0.759133251	-0.966340478
