Composite.Element.REF	TCGA-3X-AAV9-01	TCGA-WD-A7RX-01	TCGA-3X-AAVC-01	TCGA-W5-AA34-01	TCGA-W5-AA33-01	TCGA-4G-AAZT-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA36-01	TCGA-YR-A95A-01	TCGA-ZH-A8Y8-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-3X-AAVA-01	TCGA-W6-AA0S-01	TCGA-W5-AA2I-01
YWHAE|14-3-3_epsilon	-0.566029043	-0.839946318	-0.725649579	-0.60719276	-0.507374211	-0.806524073	-0.775048135	-0.870968086	-0.931631543	-0.795568669	-0.536919796	-0.891942772	-0.796224436	-0.559630635	-0.719770668	-0.539086754	-0.936909175	-0.91169502	-0.62392881	-0.878653545	-0.911773174	-0.742938579	-0.911130951	-0.835176936	-0.72900009	-0.951209972	-0.53216282	-0.603584751	-0.865744403	-0.547457321
EIF4EBP1|4E-BP1	0.376195616	0.644908064	0.682125691	0.657806765	0.540818374	0.208359478	0.706620163	0.673817554	0.48461719	0.700099797	0.565987423	0.758358906	1.293057839	0.731891869	0.676378412	-0.72321437	0.868388474	0.4157459	0.979833622	0.58303856	0.606101377	0.315906157	1.000580493	0.57546102	0.606787022	0.795462881	0.51972425	0.67497599	1.266274939	0.140144827
EIF4EBP1|4E-BP1_pS65	0.398263935	0.370628049	0.474592113	0.441203684	-0.025988426	0.313262452	0.682848421	0.69055116	0.221621583	0.547534409	0.035183158	0.452749811	0.795419421	0.268346679	0.395429411	0.908597102	0.279537246	0.697192864	0.179658551	0.313772745	1.348220791	0.460100235	0.374381356	0.667359002	0.657184249	0.676045425	0.388959387	0.160380555	0.157668458	0.901541616
EIF4EBP1|4E-BP1_pT37T46	-0.03086942	1.338428734	0.674680902	0.374245735	0.426335306	-0.014187956	0.558302633	0.626314669	-0.351883265	-0.173348993	0.207071496	0.05927748	-0.543053488	0.47695741	0.377218773	1.419182985	-0.350223788	-0.51227303	1.077775673	0.431561456	0.303039377	0.181596682	0.320981236	0.162466442	-0.522439284	2.442109568	0.855779069	0.30934107	0.849778431	1.40421339
TP53BP1|53BP1	0.890111137	1.254321963	0.898714535	0.566435683	0.650702747	1.54871128	1.596553459	1.412871196	1.723250119	1.96382637	0.966860869	1.721899227	2.022428293	0.691053586	1.326956793	-0.017368978	2.497018815	1.950019986	1.21792642	1.562637803	2.708283069	0.895824389	1.436584811	1.58005812	1.389481361	1.202455307	0.060416852	1.303460728	1.918504734	0.443798494
ACACA ACACB|ACC_pS79	-0.267009366	0.081734299	-0.521839545	0.292294264	0.374744579	-0.907506324	0.501582071	-1.075209761	1.036923554	-0.852842606	0.591130466	-0.148657123	-0.811718818	0.328654403	-0.097759382	-4.44E-07	0.546574168	-0.585908687	-0.110109574	-0.039506405	-0.208374008	-0.96308659	-0.568104223	0.421779964	-0.122085051	1.046733086	-0.437524482	0.101336942	-0.602906623	-0.056451352
ACACA|ACC1	1.56528909	2.117675197	1.356917982	2.319991958	1.027859303	0.983277161	2.463212218	0.651211629	3.028514476	1.613869759	1.476808349	2.28543672	1.186441114	1.727357498	1.12170105	1.902666072	2.971947433	0.969757981	1.152210976	1.425302123	1.487670013	1.277610788	1.254468085	2.376852005	1.979005289	2.605150434	0.835895411	1.136513414	1.259577077	2.255462018
AKT1 AKT2 AKT3|Akt	0.644336337	0.741245391	0.346935147	0.268910473	0.911272821	1.442164019	0.407225306	0.793440069	0.25088224	0.80402753	0.864122915	1.000796465	1.251230772	0.799505826	1.023290455	1.675774743	1.144090163	0.845797389	0.628633849	1.109895683	1.349867935	0.342225224	1.225823374	1.043743773	0.996661353	0.59102395	0.451948096	0.988021377	1.281277931	-0.723874065
AKT1 AKT2 AKT3|Akt_pS473	-1.088108353	-1.158440163	-1.521103161	-0.902572089	0.163360204	-0.957559232	-1.112632726	-1.014154642	-1.740908761	-0.984111915	-0.148994693	-0.969326317	-1.536978227	-0.271253069	-0.594503041	0.763130217	-1.347122063	-1.208217903	-0.74555151	-0.31291247	-1.276249237	-0.84829146	-0.898743171	-0.927009612	-1.433097544	-1.242376578	0.122962343	-0.274596395	-1.30067512	-0.949135731
AKT1 AKT2 AKT3|Akt_pT308	0.13986558	-0.140230688	-0.340527254	0.068117955	0.16782707	-0.334081777	-0.166117391	-0.02683604	-0.608020571	-0.167370478	-0.016912557	-0.568808372	-0.675469192	0.382537187	-0.224748334	1.164783848	-0.639461577	-0.641102463	-0.090652156	0.090684956	-0.555298802	0.484267863	-0.007134316	-0.421868529	-0.355528995	-0.021581421	0.737890987	0.062826287	-0.297059251	0.287806584
