Composite.Element.REF	TCGA-3X-AAV9-01	TCGA-WD-A7RX-01	TCGA-3X-AAVC-01	TCGA-W5-AA34-01	TCGA-W5-AA33-01	TCGA-4G-AAZT-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA36-01	TCGA-YR-A95A-01	TCGA-ZH-A8Y8-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-3X-AAVA-01	TCGA-W6-AA0S-01	TCGA-W5-AA2I-01
YWHAE|14-3-3_epsilon	1.2466	-0.6262	0.1553	0.9652	1.6477	-0.3977	-0.1825	-0.8383	-1.253	-0.3228	1.4457	-0.9817	-0.3272	1.2904	0.1955	1.4308	-1.2891	-1.1167	0.8508	-0.8908	-1.1173	0.0371	-1.1129	-0.5936	0.1324	-1.3869	1.4782	0.9899	-0.8026	1.3736
EIF4EBP1|4E-BP1	-0.6652	0.0965	0.2019	0.133	-0.1986	-1.1409	0.2714	0.1784	-0.3579	0.2529	-0.1272	0.418	1.9335	0.343	0.1857	-3.7812	0.7299	-0.5531	1.0457	-0.0789	-0.0135	-0.836	1.1045	-0.1004	-0.0116	0.5232	-0.2584	0.1817	1.8576	-1.3342
EIF4EBP1|4E-BP1_pS65	-0.2658	-0.3623	0.0006	-0.1159	-1.7471	-0.5626	0.7277	0.7546	-0.8826	0.2553	-1.5335	-0.0756	1.1208	-0.7194	-0.2757	1.5159	-0.6804	0.7778	-1.0291	-0.5608	3.0508	-0.05	-0.3492	0.6737	0.6381	0.704	-0.2983	-1.0964	-1.1058	1.4913
EIF4EBP1|4E-BP1_pT37T46	-0.6792	1.4179	0.4013	-0.0588	0.021	-0.6536	0.2231	0.3273	-1.1708	-0.8974	-0.3148	-0.5411	-1.4636	0.0985	-0.0542	1.5415	-1.1683	-1.4164	1.0187	0.029	-0.1678	-0.3538	-0.1403	-0.3831	-1.432	3.1081	0.6787	-0.1582	0.6695	1.5186
TP53BP1|53BP1	-0.6731	-0.0931	-0.6594	-1.1885	-1.0543	0.3757	0.4519	0.1594	0.6536	1.0367	-0.5509	0.6515	1.13	-0.9901	0.0226	-2.1182	1.8858	1.0147	-0.1511	0.3979	2.2222	-0.664	0.1971	0.4256	0.1221	-0.1757	-1.9943	-0.0149	0.9645	-1.3838
ACACA ACACB|ACC_pS79	-0.2975	0.3304	-0.7564	0.7095	0.858	-1.4508	1.0864	-1.7527	2.0503	-1.3524	1.2476	-0.0844	-1.2783	0.775	0.0072	0.1832	1.1674	-0.8717	-0.015	0.1121	-0.1919	-1.5509	-0.8397	0.9427	-0.0366	2.068	-0.6045	0.3657	-0.9023	0.0816
ACACA|ACC1	-0.1508	0.7237	-0.4806	1.044	-1.0015	-1.0721	1.2707	-1.5978	2.1656	-0.0739	-0.2908	0.9893	-0.7505	0.1058	-0.853	0.3833	2.076	-1.0935	-0.8047	-0.3724	-0.2736	-0.6062	-0.6428	1.134	0.5042	1.4954	-1.3054	-0.8295	-0.6347	0.9418
AKT1 AKT2 AKT3|Akt	-0.3778	-0.1653	-1.0297	-1.2007	0.2074	1.3711	-0.8975	-0.0509	-1.2403	-0.0277	0.104	0.4036	0.9526	-0.0376	0.4529	1.8832	0.7177	0.0638	-0.4122	0.6428	1.1688	-1.04	0.8969	0.4977	0.3945	-0.4946	-0.7995	0.3756	1.0184	-3.377
AKT1 AKT2 AKT3|Akt_pS473	-0.413	-0.5388	-1.1874	-0.0812	1.8252	-0.1795	-0.4569	-0.2808	-1.5805	-0.227	1.2666	-0.2006	-1.2158	1.0479	0.4698	2.8979	-0.8763	-0.6278	0.1996	0.9734	-0.7495	0.0159	-0.0743	-0.1249	-1.03	-0.6889	1.7529	1.0419	-0.7932	-0.1645
AKT1 AKT2 AKT3|Akt_pT308	0.5522	-0.1195	-0.5997	0.3801	0.6192	-0.5843	-0.1815	0.1524	-1.2412	-0.1845	0.1762	-1.1471	-1.4029	1.134	-0.3221	3.0097	-1.3165	-1.3205	-0.0006	0.4342	-1.1147	1.378	0.1997	-0.7948	-0.6357	0.165	1.9861	0.3674	-0.4955	0.9069
