Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
	100130426	0	0	0	0	0	0	0	0	0
	100133144	0	1.3774	6.0773	2.2328	10.844	6.4467	4.5372	0.185	1.7594
UBE2Q2P2	100134869	3.1447	1.3774	2.4556	0	5.1816	5.5522	0	3.033	1.4988
HMGB1P1	10357	81.9182	112.548	95.2832	109.361	107.756	127.068	107.731	96.5406	74.5696
	10431	1175.05	860.881	862.764	891.99	935.897	846.468	828.494	1039.42	976.378
	136542	0	0	0	0	0	0	0	0	0
	155060	122.641	99.1736	50.2489	89.3106	217.949	138.533	77.1325	65.9694	54.3036
RNU12-2P	26823	0	0	0	0	0	0	0	0	0
SSX9P	280660	0	0	0	0	0	0	0	0	0
	317712	0	0	0	0	0	0	0	0	0
EZHIP	340602	0	0	0	0	3.2051	0	0	0	2.1721
EFCAB8	388795	0	2.7548	0	1.1164	0	0	0	0	0
SRP14P1	390284	2.0964	1.3774	2.8443	2.2328	1.0684	2.1816	1.8149	4.0225	2.1721
	391343	0	0	0	0	0	0	0	0	0
TRIM75P	391714	0	0	0	0	0	0	0	0	0
SPATA31B1P	404770	0	0	0	0	0	0	0	0	0
REXO1L6P	441362	0	0	0	0	0	0	0	0	0
SDR16C6P	442388	0	0	0	0	0	0	0	0	0
	553137	144.654	199.725	2.8443	272.397	101.496	153.804	276.769	143.202	190.062
	57714	123.69	95.0413	146.006	93.7762	228.632	127.625	199.637	197.104	163.997
	645851	4.1929	0	8.5328	11.1638	8.547	8.7265	4.5372	4.0225	4.3443
	652919	0	0	24.6788	0	33.1197	0	0	0	0
HSPB1P1	653553	174.004	303.03	141.266	164.108	165.598	185.438	114.338	87.6911	158.566
PPBPP1	728045	0	0	0	0	0	0	0	0	0
	728603	0	0	0	0	0	0	0	0	0
ANKRD20A20P	728788	0	1.3774	0	3.3491	0	0	0.9074	2.4135	1.0861
	729884	0	0	0	0	0	0	0	0	1.0861
GTPBP6	8225	743.187	1068.87	690.211	947.809	818.376	965.367	738.657	605.792	657.073
EFCAB12	90288	19.9161	13.7741	17.0657	44.6553	16.0256	23.9978	21.7786	17.6991	34.7543
A1BG	1	83923.1	91446.9	108409	89252.7	79313.1	115108	71079.9	68911.6	107038
A1CF	29974	2941.3	1666.67	2567.43	3115.82	1822.65	1992.91	3557.17	2494.77	2493.62
A2BP1	54715	0	0	0	0	0	0	0	0	0
A2LD1	87769	967.558	175.51	180.318	233.413	218.803	227.499	502.105	831.239	361.836
A2M	2	83540.3	67214.7	98095.2	141573	209567	234585	139499	170268	112542
A2ML1	144568	0	0	0	0	0	0	0	0	0
A4GALT	53947	30.3983	152.893	74.8993	71.4485	159.188	112.353	63.5209	25.7442	40.1846
A4GNT	51146	2.0964	1.3774	2.8443	5.5819	3.2051	5.454	0.9074	4.827	5.4304
AAA1	404744	0	0	0	0	1.0684	0	0	0	0
AAAS	8086	875.262	860.881	563.167	802.679	827.991	897.737	819.419	827.031	661.417
AACS	65985	273.585	173.554	157.383	129.5	217.949	222.525	264.973	225.262	193.321
AACSL	729522	0	0	0	0	0	0	0	0	0
AADAC	13	12295.6	9114.33	14119	12787	7714.74	10724.8	9879.31	9370.07	9486.83
AADACL2	344752	0	0	0.9481	0	0	0	0	0	0
AADACL3	126767	0	0	0	0	0	0	0	0	0
AADACL4	343066	0	0	0	0	0	0	0	0	0
AADAT	51166	2102.73	1209.37	1709.41	1334.08	1105.77	1120.26	1827.59	1657.28	1809.39
AAGAB	79719	561.845	428.375	463.617	329.333	529.914	477.775	578.04	614.642	518.056
AAK1	22848	312.369	326.446	621.948	318.169	476.496	387.238	344.828	386.163	360.576
