Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
	100130426	NA	NA	NA	NA	NA	NA	NA	NA	NA
	100133144	-2.0308	-0.7936	0.7648	-0.3545	1.5005	0.8375	0.4143	-1.7883	-0.5807
UBE2Q2P2	100134869	0.1608	-1.3528	-0.3344	-3.7111	1.2494	1.4079	-3.7111	0.0864	-1.2172
HMGB1P1	10357	-1.2902	0.742	-0.3242	0.558	0.4633	1.5199	0.4618	-0.2403	-1.8901
	10431	2.1688	-0.7112	-0.691	-0.3826	0.0621	-0.8675	-1.0661	1.0333	0.4541
	136542	NA	NA	NA	NA	NA	NA	NA	NA	NA
	155060	0.6528	0.1753	-1.3453	-0.0599	1.9493	0.9271	-0.3885	-0.7383	-1.1725
RNU12-2P	26823	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSX9P	280660	NA	NA	NA	NA	NA	NA	NA	NA	NA
	317712	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZHIP	340602	-9.19	-9.19	-9.19	-9.19	1.0	-9.19	-9.19	-9.19	-1.0
EFCAB8	388795	-3.6154	1.0	-3.6154	-1.0	-3.6154	-3.6154	-3.6154	-3.6154	-3.6154
SRP14P1	390284	-0.0145	-1.1079	0.8809	0.1639	-1.6841	0.0979	-0.4089	1.9872	0.0855
	391343	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM75P	391714	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPATA31B1P	404770	NA	NA	NA	NA	NA	NA	NA	NA	NA
REXO1L6P	441362	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDR16C6P	442388	NA	NA	NA	NA	NA	NA	NA	NA	NA
	553137	0.1852	0.4437	-2.7445	0.6928	-0.0981	0.2343	0.7055	0.1771	0.4039
	57714	-0.5494	-1.416	-0.0029	-1.46	1.4775	-0.4463	1.0295	0.9873	0.3803
	645851	-1.0178	-5.8869	0.7777	1.4981	0.7821	0.8372	-0.828	-1.1164	-0.9329
	652919	-23.84	-23.84	-1.0	-23.84	1.0	-23.84	-23.84	-23.84	-23.84
HSPB1P1	653553	0.3095	2.0422	-0.3402	0.1269	0.1551	0.508	-0.9985	-1.8227	0.0198
PPBPP1	728045	NA	NA	NA	NA	NA	NA	NA	NA	NA
	728603	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD20A20P	728788	-3.1732	-0.3945	-3.1732	1.5434	-3.1732	-3.1732	-1.1012	0.7662	-0.8139
	729884	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTPBP6	8225	-0.3408	1.6603	-0.7479	0.9983	0.1898	1.0994	-0.3744	-1.4659	-1.0187
EFCAB12	90288	-0.2479	-1.2573	-0.6733	2.0187	-0.8455	0.2697	-0.0002	-0.5732	1.3089
A1BG	1	-0.3467	0.1466	1.1244	0.0071	-0.6713	1.4689	-1.3011	-1.4791	1.0512
A1CF	29974	0.7707	-1.6116	0.2005	1.0125	-1.2365	-0.8619	1.5682	0.0801	0.0781
A2BP1	54715	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2LD1	87769	1.7284	-1.0555	-1.0116	-0.5916	-0.6968	-0.6334	0.6573	1.4804	0.1228
A2M	2	-1.1147	-1.6675	-0.7063	0.2265	1.2238	1.5105	0.189	0.6958	-0.357
A2ML1	144568	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4GALT	53947	-1.275	1.3112	0.1611	0.0854	1.3764	0.8137	-0.1032	-1.5361	-0.8336
A4GNT	51146	-0.667	-1.2713	-0.1723	1.0573	0.0328	1.0125	-1.7749	0.7788	1.0041
AAA1	404744	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	8086	0.7554	0.6401	-2.3126	0.1529	0.369	0.9318	0.2965	0.3609	-1.194
AACS	65985	1.3339	-0.6434	-1.0678	-1.913	0.3456	0.4359	1.1948	0.489	-0.1752
AACSL	729522	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAC	13	0.9071	-0.7505	1.6727	1.1241	-1.6735	0.1504	-0.3043	-0.5973	-0.5287
AADACL2	344752	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL3	126767	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL4	343066	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	51166	1.493	-0.9712	0.5703	-0.534	-1.3701	-1.3121	0.8681	0.4323	0.8236
AAGAB	79719	0.7362	-0.7856	-0.3421	-2.26	0.4079	-0.1733	0.8957	1.2404	0.2809
AAK1	22848	-0.972	-0.7629	2.2984	-0.8847	1.0327	0.0477	-0.5029	0.0345	-0.2909
AAMP	14	-0.0046	0.585	-1.0443	0.9933	-1.981	0.9745	0.8146	-0.8709	0.5334
AANAT	15	-9.1411	-9.1411	-9.1411	-9.1411	-9.1411	-9.1411	-9.1411	-1.0	1.0
AARS	16	-0.2643	-1.1906	-0.4548	-0.5531	-1.052	-0.181	1.899	0.3327	1.4641
AARS2	57505	-0.3797	-1.1579	-1.0356	-0.0393	1.8691	0.3752	0.3645	1.1581	-1.1545
AARSD1	80755	0.6419	0.0285	-1.8911	1.542	-0.5509	1.0296	-1.0461	-0.1462	0.3924
AASDH	132949	0.6014	-1.3267	-1.3419	0.5646	-0.9762	-0.3704	1.7352	0.4207	0.6933
AASDHPPT	60496	1.1056	-1.0293	-1.6798	-0.3743	0.334	-0.055	-0.0415	1.9011	-0.1609
AASS	10157	-0.3479	-1.1972	0.1806	1.2754	0.8134	-0.3719	1.0146	-1.9129	0.5459
AATF	26574	0.0529	-0.2401	-0.2484	1.5131	-0.7225	1.9767	-0.6202	-0.4621	-1.2493
AATK	9625	0.2568	-0.0911	-0.8422	-0.9614	1.7402	1.5047	0.2992	-1.1691	-0.7372
ABAT	18	-0.5829	-1.3972	0.6629	0.2154	-0.8511	0.7129	1.5796	-1.2737	0.9341
ABCA10	10349	0.6035	1.0559	-1.2141	1.084	-0.1432	0.5588	-0.1267	0.2888	-2.1071
ABCA1	19	-0.4876	-1.6469	1.3092	-0.8926	-0.0368	-0.1356	0.337	-0.272	1.8254
ABCA11P	79963	0.8533	-0.4805	-0.3699	1.0249	1.5031	0.1371	-1.0779	0.2418	-1.8318
ABCA12	26154	-2.3936	-2.3936	-2.3936	-2.3936	1.4142	-0.7045	-2.3936	-2.3936	-0.7097
ABCA13	154664	-0.6699	-1.3181	0.0427	0.0521	-0.1739	0.9248	0.2557	-1.2097	2.0965
ABCA17P	650655	0.2509	-1.2121	-3.4915	1.8806	-0.4825	0.3307	-0.7675	-3.4915	-3.4915
ABCA2	20	0.9076	0.4434	0.0663	-2.4852	0.1002	-0.4241	0.8065	0.9201	-0.335
ABCA3	21	-0.8452	1.0864	-0.441	-0.5792	1.8728	1.0981	-1.1257	-0.6483	-0.4179
ABCA4	24	0.5557	0.0499	-1.1747	1.002	0.8814	0.8047	-1.5359	-1.3758	0.7928
ABCA5	23461	1.2525	-2.1303	-0.7536	-0.5592	0.0691	0.4816	0.3638	-0.0056	1.2819
ABCA6	23460	0.3804	-1.8884	0.2929	1.1807	-1.0396	-0.5429	1.4207	-0.3472	0.5432
ABCA7	10347	1.1097	-0.4978	-0.7751	-1.2735	0.9976	1.1306	0.9728	-1.421	-0.2432
ABCA8	10351	-1.0757	0.524	2.0329	0.3033	-1.1506	-0.2675	-0.7663	-0.6003	1.0003
ABCA9	10350	-0.2337	-1.1465	0.7329	0.3634	2.1741	0.4641	-0.8587	-0.4616	-1.034
ABCB10	23456	0.818	-1.1667	0.5579	-1.4668	-0.7436	-0.915	0.8396	1.396	0.6806
ABCB11	8647	-0.9207	-1.3483	0.6133	0.492	-0.211	-1.2815	1.7884	-0.0428	0.9106
ABCB1	5243	-0.1149	-0.7862	2.154	-1.5255	-0.2809	-0.0709	1.0944	-0.3052	-0.1647
ABCB4	5244	0.9683	-0.2217	1.2642	-1.6071	-0.6275	-1.4075	-0.0386	0.6594	1.0105
ABCB5	340273	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB6	10058	-0.1453	0.4664	-0.6515	0.267	-1.2247	0.0362	2.2233	-1.3071	0.3358
ABCB7	22	1.0772	-1.7475	-0.6568	1.5667	-1.159	-0.2294	0.5766	0.349	0.2231
ABCB8	11194	1.1764	-0.4982	-0.96	-1.9598	-0.0678	-0.2811	1.1364	1.0217	0.4323
ABCB9	23457	-1.2874	0.9775	0.1754	-0.4952	0.4984	1.322	-0.8304	1.1161	-1.4764
ABCC10	89845	-0.2166	0.1157	-1.2975	-1.558	2.0519	0.664	-0.0885	0.4049	-0.0761
ABCC11	85320	1.6535	-2.0391	-0.091	0.5418	0.6996	-0.356	0.599	-0.906	-0.1016
ABCC12	94160	-171.5859	-171.5859	-171.5859	-171.5859	-1.0	-171.5859	-171.5859	-171.5859	1.0
ABCC13	150000	-2.1398	1.0	-2.1398	-1.0	-2.1398	-2.1398	-2.1398	-2.1398	-2.1398
ABCC1	4363	-1.6414	1.1134	-0.2009	-0.4858	1.5369	0.6147	-0.3812	-1.2133	0.6577
ABCC2	1244	0.395	-0.9194	1.6277	-1.0271	-0.3138	-0.8136	1.2932	0.8361	-1.0781
ABCC3	8714	1.148	-0.9713	0.3758	-2.2347	0.113	-0.315	1.0143	0.6406	0.2291
ABCC4	10257	-0.2574	-0.1009	-1.1693	-1.2806	1.4243	-0.4299	0.9213	1.5544	-0.6619
ABCC5	10057	-0.3401	0.6512	-1.6528	0.9273	1.8985	0.3275	-0.5155	-0.8079	-0.4883
ABCC6	368	0.5869	-0.3349	-0.401	-1.0125	-1.3198	-0.7528	2.063	0.3539	0.8171
ABCC6P1	653190	1.5434	-0.4708	-1.9053	-0.2859	0.0958	0.0245	1.4796	-0.6704	0.1892
ABCC6P2	730013	2.1714	-0.6784	-1.6157	-0.5549	-0.129	0.0429	0.5024	0.6791	-0.4179
ABCC8	6833	2.1752	-1.8171	-0.7264	-0.5909	0.5322	0.076	-1.8171	-0.8516	-0.6144
ABCC9	10060	0.5799	-0.395	-0.1346	-1.1865	-1.7695	0.486	1.2194	-0.268	1.4682
ABCD1	215	1.0694	0.6719	-0.9806	-1.3907	0.3848	-0.5579	-0.1336	1.8088	-0.8722
