Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
A1BG|A1BG	-0.6648	3.0202	-0.0508	2.3349	-0.4846	-0.4281	0.2194	0.2723	0.6045	-0.0735	-0.0772	0.7200	-0.0954	-0.6757	-0.6689	0.1352	0.2436	-0.2172	-1.2426	-1.4886	0.3552	0.4560	0.4829	0.1118	0.1039	0.4462	0.2249	0.6457	-0.5289	0.7202	0.5823	1.7288	0.7199	-0.0673	-0.0183	-1.3379	-0.5726	-0.1090	0.4296	0.2311	-0.1547	0.6550	0.6845	-1.1875	-1.5002	0.0544	0.1492	-0.0018	2.2964	0.2503	-0.3994	0.2783	0.7807	-0.0939	-0.3634	-0.8689	-4.0853	-0.0233	3.0921	0.1336	NaN	0.6447	-1.3939	-0.0172	-0.3532	NaN	0.5764	0.1029	-1.6119	0.0765	-0.5326	0.2432	-0.2972	-2.5659	1.4808	-0.3721	-0.5521	-0.2240	-0.3352	0.6474	-0.2394	-0.5648	0.1183	-1.1757	-0.8613	0.0142	1.0020	0.1395	0.5378	-0.1704
A1CF|A1CF	NaN	NaN	NaN	NaN	NaN	1.3221	NaN	1.3706	NaN	NaN	NaN	-0.3553	0.7087	NaN	0.6836	NaN	NaN	0.8557	NaN	NaN	NaN	-0.0191	NaN	-1.6094	-0.5880	0.0061	NaN	NaN	NaN	NaN	1.8774	-0.8324	NaN	-0.6368	NaN	-0.2697	NaN	NaN	NaN	NaN	-0.2027	0.6429	NaN	NaN	NaN	NaN	NaN	0.1335	0.6995	NaN	-0.1847	NaN	NaN	NaN	1.5112	-0.0440	0.6183	-1.1989	NaN	NaN	NaN	-0.1107	-0.7670	NaN	NaN	-1.1827	NaN	-0.2178	-1.5615	NaN	NaN	1.5526	1.9485	-1.6914	NaN	NaN	0.5173	0.0327	NaN	NaN	-0.0704	NaN	NaN	NaN	-1.3532	NaN	NaN	-1.4628	NaN	-0.1220
A2M|A2M	1.1817	1.9544	-0.3613	1.9645	0.0751	0.2074	0.3839	0.8381	0.6194	0.0791	0.1973	1.3248	0.4268	-1.0420	0.2481	0.2263	0.7438	-0.0819	0.3415	-0.9934	1.2251	1.5492	0.9393	0.3552	-0.7848	0.6267	0.5965	0.5052	-0.1885	0.7428	0.4334	0.4621	0.4368	0.3418	0.2476	-1.4392	-0.9518	-0.5031	0.3537	-0.8573	-0.2915	0.5438	0.7780	-0.9515	-1.6769	-0.6113	0.9779	0.8114	-2.1270	-0.3454	-0.8632	-0.3337	0.5683	0.2606	0.1512	-1.1559	-1.2286	0.0190	1.1520	-0.9755	-1.3842	0.2007	0.4338	0.7272	1.1745	-2.7128	1.4827	0.3395	-2.6028	-0.0074	-0.2634	1.1665	-0.3939	-3.4558	1.9852	-0.4520	-0.8674	-0.3583	-0.5897	0.0630	-0.8827	-0.4180	-0.1526	-0.5051	-1.5545	0.1203	0.2194	0.4824	0.4199	0.6599
AAAS|AAAS	0.3439	NaN	-0.8395	-0.0546	-0.6052	0.5571	0.0614	2.0175	NaN	0.9253	0.0468	0.1732	0.9939	0.2031	0.2588	0.6824	NaN	-0.5548	0.0869	-1.6820	0.1774	0.3509	2.1854	NaN	0.2580	NaN	-0.1803	1.4456	-0.1667	-0.7393	1.1037	NaN	1.3993	NaN	NaN	-0.1762	-1.1812	NaN	NaN	1.1678	0.1797	0.4737	0.5010	0.2068	-3.2539	-0.4469	-2.2457	0.2832	-1.1591	-1.0444	-0.4035	0.3037	NaN	-0.3822	0.8597	-0.0147	-0.4759	-0.2008	-1.2973	-1.2793	0.1197	1.7714	-0.2457	NaN	0.3107	-2.2179	0.7934	0.5649	-0.7244	-0.4712	0.0851	0.9488	0.0719	-0.5609	1.4536	-0.3477	0.6316	-1.2285	NaN	1.2703	-0.2012	0.9451	0.5493	-0.1221	-1.8468	1.1338	-1.8345	NaN	0.5225	-0.2341
AACS|AACS	0.5886	NaN	NaN	-0.6218	NaN	NaN	0.0568	NaN	NaN	0.2632	0.3924	NaN	-0.8397	-0.1838	0.5917	1.2209	NaN	-0.9106	0.1959	NaN	NaN	1.2699	1.5978	NaN	-0.1062	-0.1883	1.7789	0.4050	-0.7124	0.9345	0.0479	NaN	1.0847	NaN	NaN	NaN	-0.2334	2.1037	NaN	-0.4676	-0.6003	-0.4857	0.1870	0.7412	NaN	NaN	-1.2393	0.4352	NaN	NaN	0.3725	0.8742	NaN	0.4861	-0.0256	NaN	NaN	-1.9267	-0.4548	NaN	0.4935	NaN	-0.5327	NaN	NaN	-2.3425	1.0601	-0.8756	-1.3202	0.3548	-0.8032	NaN	2.3064	-2.1090	NaN	-0.4458	NaN	NaN	NaN	-0.1856	NaN	0.4575	NaN	NaN	-1.2337	-1.2841	NaN	NaN	NaN	-0.1720
AAGAB|AAGAB	NaN	NaN	1.5643	-0.3835	NaN	0.1519	NaN	0.3362	NaN	0.8506	-0.1701	NaN	0.8419	NaN	NaN	NaN	NaN	NaN	0.1728	NaN	NaN	NaN	0.1803	NaN	NaN	NaN	0.7411	NaN	NaN	0.2165	0.2706	-0.0565	0.0118	NaN	NaN	-1.2718	1.9958	NaN	NaN	0.2941	NaN	1.0659	NaN	NaN	-2.4231	NaN	NaN	-1.0297	NaN	NaN	NaN	0.9076	NaN	1.7983	NaN	-2.7309	NaN	-0.3217	-1.0248	NaN	NaN	NaN	NaN	NaN	-0.2456	-1.4747	NaN	NaN	NaN	-0.3795	0.1376	0.0203	-0.7371	-0.9489	NaN	NaN	NaN	NaN	NaN	0.2524	0.2612	0.3771	NaN	NaN	-1.1363	0.7543	NaN	0.4387	0.6931	NaN
AAK1|AAK1	-0.0329	1.8349	-0.4249	NaN	-0.6454	0.5935	0.4654	1.8400	NaN	NaN	-0.0988	NaN	NaN	-2.6221	NaN	NaN	NaN	-0.5158	NaN	-1.9836	NaN	1.0278	0.4197	NaN	-1.5994	-0.2698	0.1477	NaN	-1.4669	1.3629	NaN	NaN	NaN	NaN	NaN	-2.4517	0.0337	-0.3574	-0.5717	NaN	NaN	0.9742	0.7343	0.7630	NaN	NaN	NaN	0.7192	0.3641	NaN	NaN	-0.1206	NaN	-0.7895	NaN	NaN	0.1809	0.0834	NaN	NaN	0.6529	0.6811	0.5421	0.9895	0.8408	-0.0546	0.1739	NaN	NaN	0.0774	NaN	NaN	-0.3933	NaN	1.5227	NaN	0.8518	NaN	NaN	NaN	-0.0467	NaN	NaN	NaN	-1.1348	-1.1641	-0.8223	-0.7712	NaN	0.4606
AAMDC|AAMDC	0.6026	NaN	NaN	NaN	NaN	-0.5843	-0.3570	1.4937	NaN	-0.2272	NaN	NaN	1.8868	-1.2590	NaN	NaN	NaN	NaN	-0.8021	NaN	0.5616	0.9117	-0.3126	NaN	NaN	NaN	NaN	NaN	0.7987	-0.4692	1.1497	NaN	-0.4132	NaN	-1.6737	NaN	NaN	NaN	NaN	1.5859	NaN	-0.6258	NaN	1.7008	NaN	NaN	-1.5994	NaN	NaN	0.8417	NaN	-1.1104	0.4281	0.2270	NaN	2.1022	NaN	-1.3650	-0.6940	NaN	-0.9066	NaN	1.0385	NaN	NaN	-1.3006	NaN	0.6714	-1.1887	-0.0425	1.3332	-0.6783	NaN	-1.1173	0.0712	NaN	-0.2595	NaN	0.8090	NaN	0.7524	-1.6179	-0.4110	0.3841	0.7683	-0.0596	NaN	0.0606	-0.6642	-0.4399
AAMP|AAMP	0.0224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.3666	NaN	NaN	NaN	NaN	NaN	0.0186	NaN	-0.5995	0.4768	NaN	NaN	NaN	1.0398	NaN	NaN	NaN	0.5623	NaN	-0.4192	NaN	0.6255	NaN	NaN	NaN	NaN	-2.4436	NaN	NaN	0.0180	1.3948	0.1744	NaN	NaN	NaN	NaN	-0.7736	NaN	0.2340	NaN	NaN	NaN	NaN	NaN	NaN	0.5812	-0.6844	-1.4382	NaN	NaN	NaN	NaN	NaN	NaN	1.9093	-0.0357	NaN	NaN	0.3983	-1.4039	0.1613	NaN	NaN	0.5659	NaN	NaN	-0.8437	1.7090	0.3255	-1.6192	NaN	-0.3656	0.1649	NaN	0.7687	NaN	-2.0918	NaN	-0.1176	0.7927	1.2593
AAR2|AAR2	NaN	NaN	NaN	0.9523	NaN	NaN	NaN	NaN	NaN	0.1719	NaN	NaN	0.8915	NaN	0.0476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1772	NaN	NaN	NaN	NaN	NaN	NaN	-0.2849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0130	NaN	-2.7487	NaN	0.0529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0433	NaN
